vin,body_type,daysonmarket,fleet,frame_damaged,fuel_type,has_accidents,horsepower,isCab,make_name,maximum_seating,mileage,model_name,price,transmission,wheel_system,year
2HKYF181X4H595629,SUV / Crossover,77,FALSE,FALSE,Gasoline,FALSE,240,FALSE,Honda,8 seats,249879,Pilot,2995,A,4WD,2004
KMHD74LF7KU783054,Sedan,62,FALSE,FALSE,Gasoline,FALSE,147,FALSE,Hyundai,5 seats,21972,Elantra,14788,A,FWD,2019
1FM5K8F82HGC46428,SUV / Crossover,56,FALSE,FALSE,Gasoline,FALSE,290,FALSE,Ford,7 seats,37441,Explorer,29988,A,AWD,2017
1C4RJFBG7HC836819,SUV / Crossover,74,FALSE,FALSE,Gasoline,FALSE,241,FALSE,Jeep,5 seats,33620,Grand Cherokee,25579,A,4WD,2017
5NPEH4J28LH022308,Sedan,227,,,Gasoline,,180,,Hyundai,5 seats,13,Sonata,34785,A,FWD,2020
4T1BE46K07U091666,Sedan,8,FALSE,FALSE,Gasoline,TRUE,158,FALSE,Toyota,5 seats,137375,Camry,4495,A,FWD,2007
KM8K5CA55LU545030,SUV / Crossover,183,,,Gasoline,,175,,Hyundai,5 seats,12,Kona,30470,A,AWD,2020
1C6RR7UT0JS128648,Pickup Truck,19,FALSE,FALSE,Gasoline,FALSE,395,FALSE,RAM,5 seats,24455,1500,36500,A,4WD,2018
WBA8D9C34HA005576,Sedan,26,FALSE,FALSE,Gasoline,FALSE,,FALSE,BMW,5 seats,46586,3 Series,22950,A,AWD,2017
5FNRL38736B427054,Minivan,41,FALSE,FALSE,Gasoline,FALSE,244,FALSE,Honda,8 seats,189930,Odyssey,2995,A,FWD,2006
3C4NJDCB8KT785364,SUV / Crossover,21,FALSE,FALSE,Gasoline,FALSE,180,FALSE,Jeep,5 seats,13211,Compass,25185,A,4WD,2019
2C3CDZJG0LH178027,Coupe,25,,,Gasoline,,303,,Dodge,5 seats,15,Challenger,37120,A,RWD,2020
1GCGTDENXJ1319712,Pickup Truck,67,FALSE,FALSE,Gasoline,FALSE,308,FALSE,Chevrolet,5 seats,18797,Colorado,31219,A,4WD,2018
1C4RDJAG8HC833603,SUV / Crossover,47,FALSE,FALSE,Gasoline,TRUE,295,FALSE,Dodge,7 seats,29220,Durango,25799,A,AWD,2017
2C3CDXGJ0LH121690,Sedan,41,FALSE,FALSE,Gasoline,FALSE,485,FALSE,Dodge,5 seats,8094,Charger,37950,A,RWD,2020
1C4RJFBG8HC862619,SUV / Crossover,47,FALSE,FALSE,Gasoline,FALSE,241,FALSE,Jeep,5 seats,9257,Grand Cherokee,30995,A,4WD,2017
5LMJJ2JT6FEJ00713,SUV / Crossover,238,FALSE,FALSE,Gasoline,FALSE,380,FALSE,Lincoln,8 seats,41103,Navigator,33995,A,4WD,2015
WDDNG9EB6DA516417,Sedan,178,FALSE,TRUE,Gasoline,TRUE,429,FALSE,Mercedes-Benz,5 seats,80892,S-Class,21995,A,AWD,2013
1C4NJDEB1HD127235,SUV / Crossover,76,FALSE,FALSE,Gasoline,FALSE,172,FALSE,Jeep,5 seats,26843,Compass,17299,A,4WD,2017
KM8K5CA58LU524270,SUV / Crossover,183,,,Gasoline,,175,,Hyundai,5 seats,11,Kona,30470,A,AWD,2020
1C4RDJAG7LC356655,SUV / Crossover,39,,,Gasoline,,293,,Dodge,7 seats,15,Durango,36561,A,AWD,2020
KMHC75LJ2LU060820,Hatchback,214,,,Electric,,,,Hyundai,,10,Ioniq Electric,33499,A,FWD,2020
3VW637AJ8EM269060,Sedan,45,TRUE,TRUE,Hybrid,FALSE,170,FALSE,Volkswagen,5 seats,,Jetta Hybrid,8995,A,FWD,2014
3FAHP0JA5CR434303,Sedan,45,FALSE,FALSE,Gasoline,TRUE,175,FALSE,Ford,5 seats,107074,Fusion,7495,A,FWD,2012
JH4KB26679C001716,Sedan,26,FALSE,FALSE,Gasoline,FALSE,300,FALSE,Acura,5 seats,145807,RL,7995,A,AWD,2009
2C3CDZAG4JH317783,Coupe,13,TRUE,TRUE,Gasoline,FALSE,305,TRUE,Dodge,5 seats,39999,Challenger,21495,A,RWD,2018
1C4PJMDS8HW660178,SUV / Crossover,53,FALSE,FALSE,Gasoline,FALSE,271,FALSE,Jeep,5 seats,24985,Cherokee,22995,A,4WD,2017
5NMS3CAD0LH255688,SUV / Crossover,31,,,Gasoline,,185,,Hyundai,5 seats,15,Santa Fe,31375,A,AWD,2020
MAJ6S3JL4LC337178,SUV / Crossover,286,,,Gasoline,,166,,Ford,5 seats,0,EcoSport,28307,A,AWD,2020
1G11C5SL7FU146552,Sedan,31,FALSE,TRUE,Gasoline,FALSE,196,FALSE,Chevrolet,5 seats,45000,Malibu,10495,A,FWD,2015
ZHWUC2ZF7JLA09526,Coupe,49,TRUE,FALSE,Gasoline,FALSE,571,TRUE,Lamborghini,2 seats,32076,Huracan,169950,A,RWD,2018
5NPEH4J26LH041522,Sedan,120,,,Gasoline,,180,,Hyundai,5 seats,8,Sonata,34795,A,FWD,2020
5NMSG73D08H162573,SUV / Crossover,33,FALSE,FALSE,Gasoline,TRUE,185,FALSE,Hyundai,5 seats,160962,Santa Fe,3995,A,AWD,2008
3FA6P0T92LR246638,Sedan,15,,,Gasoline,,245,,Ford,5 seats,5,Fusion,20679,A,AWD,2020
1C4RJFBG4HC852301,SUV / Crossover,75,FALSE,FALSE,Gasoline,FALSE,241,FALSE,Jeep,5 seats,38386,Grand Cherokee,25254,A,4WD,2017
3GTU9BED9LG383709,Pickup Truck,17,,,Gasoline,,355,,GMC,6 seats,,Sierra 1500,44470,A,4WD,2020
2C3CDXBG0KH711611,Sedan,37,TRUE,FALSE,Gasoline,FALSE,292,TRUE,Dodge,5 seats,10156,Charger,19850,A,RWD,2019
5TFMU4FN7FX030726,Pickup Truck,11,FALSE,FALSE,Gasoline,FALSE,236,FALSE,Toyota,5 seats,89344,Tacoma,25982,A,4WD,2015
2HKYF18595H515208,SUV / Crossover,29,FALSE,FALSE,Gasoline,FALSE,255,FALSE,Honda,8 seats,143597,Pilot,5995,A,4WD,2005
KM8J3CA44HU546685,SUV / Crossover,11,FALSE,FALSE,Gasoline,FALSE,164,FALSE,Hyundai,5 seats,41446,Tucson,17886,A,AWD,2017
WDC0G4KB2JF333004,SUV / Crossover,22,FALSE,FALSE,Gasoline,TRUE,241,FALSE,Mercedes-Benz,5 seats,19125,GLC-Class,29950,A,AWD,2018
MAJ6P1CL3JC157531,SUV / Crossover,34,TRUE,FALSE,Gasoline,FALSE,166,FALSE,Ford,5 seats,3651,EcoSport,18988,A,AWD,2018
3C4PDCGGXHT549730,SUV / Crossover,19,FALSE,FALSE,Flex Fuel Vehicle,FALSE,283,FALSE,Dodge,7 seats,56643,Journey,15995,A,FWD,2017
KMHC75LJ8LU060840,Hatchback,203,,,Electric,,,,Hyundai,,10,Ioniq Electric,33499,A,FWD,2020
1N6AD0EV0DN710079,Pickup Truck,22,FALSE,FALSE,Gasoline,FALSE,261,FALSE,Nissan,5 seats,88076,Frontier,14995,A,4WD,2013
1YVHZ8BH1B5M20702,Sedan,0,FALSE,FALSE,,TRUE,168,FALSE,Mazda,5 seats,144544,MAZDA6,4995,A,FWD,2011
KM8J3CAL2MU298292,SUV / Crossover,4,,,Gasoline,,181,,Hyundai,5 seats,5,Tucson,31400,A,AWD,2021
2HGFC2F57JH541688,Sedan,14,FALSE,FALSE,Gasoline,TRUE,158,FALSE,Honda,5 seats,32768,Civic,16993,CVT,FWD,2018
KM8K5CA56LU543772,SUV / Crossover,93,,,Gasoline,,175,,Hyundai,5 seats,21,Kona,30470,A,AWD,2020
2C3CDZGG8LH173147,Coupe,28,,,Gasoline,,303,,Dodge,5 seats,10,Challenger,37205,A,AWD,2020
KM8J3CAL0LU199162,SUV / Crossover,241,,,Gasoline,,181,,Hyundai,5 seats,11,Tucson,34805,A,AWD,2020
JHLRE3H78AC006210,SUV / Crossover,22,FALSE,TRUE,Gasoline,TRUE,180,FALSE,Honda,5 seats,61496,CR-V,10995,A,FWD,2010
WDDZF4JB6JA355513,Sedan,24,FALSE,TRUE,Gasoline,FALSE,241,FALSE,Mercedes-Benz,5 seats,41333,E-Class,31495,A,RWD,2018
2C3CDXHG3KH583887,Sedan,22,TRUE,FALSE,Gasoline,FALSE,300,TRUE,Dodge,5 seats,34693,Charger,27159,A,RWD,2019
KM8K5CA57LU494985,SUV / Crossover,272,,,Gasoline,,175,,Hyundai,5 seats,9,Kona,30500,A,AWD,2020
KM8J3CAL3MU298737,SUV / Crossover,7,,,Gasoline,,181,,Hyundai,5 seats,5,Tucson,32373,A,AWD,2021
3C4NJDCB3KT785353,SUV / Crossover,24,FALSE,FALSE,Gasoline,FALSE,180,FALSE,Jeep,5 seats,14499,Compass,23865,A,4WD,2019
2C3CCABG0LH164289,Sedan,79,,,Gasoline,,300,,Chrysler,5 seats,15,300,37353,A,RWD,2020
5FNRL5H95GB067848,Minivan,526,FALSE,FALSE,Gasoline,FALSE,248,FALSE,Honda,8 seats,33127,Odyssey,23950,A,FWD,2016
4S3BMBK61B3245580,Sedan,74,FALSE,FALSE,Gasoline,TRUE,170,FALSE,Subaru,5 seats,141120,Legacy,5995,A,AWD,2011
1C4NJDEB9HD192608,SUV / Crossover,62,FALSE,FALSE,Gasoline,FALSE,172,FALSE,Jeep,5 seats,30361,Compass,14995,A,4WD,2017
JF1ZCAC1XH9601339,Coupe,13,FALSE,FALSE,Gasoline,FALSE,200,FALSE,Subaru,4 seats,41065,BRZ,22888,M,RWD,2017
MAJ6S3FLXLC355693,SUV / Crossover,244,,,Gasoline,,166,,Ford,5 seats,0,EcoSport,22476,A,AWD,2020
1VWAT7A35FC097374,Sedan,38,TRUE,TRUE,Gasoline,TRUE,170,TRUE,Volkswagen,5 seats,63024,Passat,10995,A,FWD,2015
1C4RJFCGXFC129709,SUV / Crossover,4,FALSE,FALSE,Gasoline,FALSE,241,FALSE,Jeep,5 seats,103247,Grand Cherokee,21379,A,4WD,2015
KNDJP3A58K7660132,Wagon,18,TRUE,FALSE,Gasoline,FALSE,161,TRUE,Kia,5 seats,74116,Soul,12453,A,FWD,2019
KM8K5CA57MU602412,SUV / Crossover,45,,,Gasoline,,,,Hyundai,5 seats,0,Kona,31410,A,,2021
KM8J3CAL2LU226104,SUV / Crossover,103,,,Gasoline,,181,,Hyundai,5 seats,11,Tucson,34820,A,AWD,2020
1C4RJFAG1GC420961,SUV / Crossover,15,FALSE,FALSE,Gasoline,FALSE,295,FALSE,Jeep,5 seats,52101,Grand Cherokee,20995,A,4WD,2016
WDC0G4KB2HF227534,SUV / Crossover,55,FALSE,FALSE,Gasoline,TRUE,241,FALSE,Mercedes-Benz,5 seats,31703,GLC-Class,25950,A,AWD,2017
1G1AL58F787262871,Sedan,13,FALSE,FALSE,Gasoline,FALSE,148,FALSE,Chevrolet,5 seats,162962,Cobalt,2995,A,FWD,2008
2C4RC1BG4HR803653,Minivan,22,FALSE,FALSE,Gasoline,FALSE,287,FALSE,Chrysler,8 seats,35003,Pacifica,17950,A,FWD,2017
4T1BE46K09U832711,Sedan,113,FALSE,FALSE,Gasoline,FALSE,158,FALSE,Toyota,5 seats,203680,Camry,3995,A,FWD,2009
WBA3X5C52FD560050,Wagon,8,FALSE,FALSE,Gasoline,TRUE,240,FALSE,BMW,5 seats,70898,3 Series Gran Turismo,16995,A,AWD,2015
19XFA1E54AE079327,Sedan,22,FALSE,FALSE,Gasoline,FALSE,140,FALSE,Honda,5 seats,152080,Civic,5995,M,FWD,2010
KMHC75LJ0LU061996,Hatchback,120,,,Electric,,,,Hyundai,,10,Ioniq Electric,33499,A,FWD,2020
1N4AL3APXJC169635,Sedan,223,TRUE,TRUE,Gasoline,TRUE,179,TRUE,Nissan,5 seats,57114,Altima,11495,CVT,FWD,2018
3TMCZ5AN1LM359840,Pickup Truck,3,,,Gasoline,,278,,Toyota,5 seats,5,Tacoma,32683,A,4WD,2020
KMHC75LDXKU183791,Hatchback,183,,,Gasoline,,139,,Hyundai,5 seats,1115,Ioniq Hybrid Plug-In ,30545,A,FWD,2019
2C3CCABG9LH175520,Sedan,0,,,Gasoline,,300,,Chrysler,5 seats,10,300,37677,A,RWD,2020
3C6UR5FJ5LG106598,Pickup Truck,194,,,Gasoline,,410,,RAM,6 seats,11,2500,58782,A,4WD,2020
KM8J3CAL2LU208265,SUV / Crossover,213,,,Gasoline,,181,,Hyundai,5 seats,8,Tucson,34845,A,AWD,2020
3GTU9DET1LG335253,Pickup Truck,59,,,Diesel,,277,,GMC,6 seats,22,Sierra 1500,53824,A,4WD,2020
WDDZF4KB7HA160352,Sedan,22,FALSE,FALSE,Gasoline,FALSE,241,FALSE,Mercedes-Benz,5 seats,47884,E-Class,21450,A,AWD,2017
1N4AA5AP5CC867378,Sedan,48,FALSE,FALSE,Gasoline,TRUE,290,FALSE,Nissan,5 seats,103845,Maxima,7995,A,FWD,2012
1C4RDJDGXHC691878,SUV / Crossover,62,FALSE,FALSE,Gasoline,TRUE,295,FALSE,Dodge,7 seats,40772,Durango,26799,A,AWD,2017
KM8J3CAL0LU199534,SUV / Crossover,224,,,Gasoline,,181,,Hyundai,5 seats,157,Tucson,32165,A,AWD,2020
3FA6P0HD5LR226848,Sedan,39,,,Gasoline,,175,,Ford,5 seats,0,Fusion,23748,A,FWD,2020
KM8K5CA54LU488643,SUV / Crossover,305,,,Gasoline,,175,,Hyundai,5 seats,15,Kona,30600,A,AWD,2020
1HGCS1A73CA023927,Coupe,48,FALSE,FALSE,Gasoline,FALSE,190,FALSE,Honda,5 seats,168942,Accord Coupe,6495,M,FWD,2012
5TDCZRAH6LS030715,SUV / Crossover,4,,,Gasoline,,295,,Toyota,8 seats,5,Highlander,34093,A,FWD,2020
KM8J3CAL8LU204432,SUV / Crossover,195,,,Gasoline,,181,,Hyundai,5 seats,13,Tucson,34845,A,AWD,2020
YV4952CZ9D1642504,SUV / Crossover,38,FALSE,TRUE,Gasoline,TRUE,240,FALSE,Volvo,7 seats,102073,XC90,11495,A,AWD,2013
WBAEU33494PM61475,Sedan,11,FALSE,FALSE,Gasoline,TRUE,184,FALSE,BMW,5 seats,151640,3 Series,3495,A,AWD,2004
5NMS3CAD3LH195468,SUV / Crossover,300,,,Gasoline,,185,,Hyundai,5 seats,10,Santa Fe,34633,A,AWD,2020
SALYL2RX4JA765786,SUV / Crossover,36,FALSE,FALSE,Gasoline,FALSE,247,FALSE,Land Rover,5 seats,19296,Range Rover Velar,51600,A,AWD,2018
1C4RJFBG2HC728298,SUV / Crossover,75,FALSE,FALSE,Gasoline,FALSE,241,FALSE,Jeep,5 seats,44618,Grand Cherokee,24799,A,4WD,2017
1GT49REY7LF137397,Pickup Truck,22,FALSE,FALSE,Biodiesel,FALSE,445,FALSE,GMC,5 seats,17395,Sierra 2500HD,71963,A,4WD,2020
WP1AF2A53JLB71073,SUV / Crossover,33,FALSE,FALSE,,FALSE,400,FALSE,Porsche,5 seats,17461,Macan,67900,A,AWD,2018
1N4AL3AP9EN380660,Sedan,192,TRUE,TRUE,Gasoline,FALSE,182,TRUE,Nissan,5 seats,48385,Altima,11495,CVT,FWD,2014
3FA6P0G79LR110497,Sedan,417,,,Gasoline,,175,,Ford,5 seats,0,Fusion,23469,A,FWD,2020
5NPE24AFXGH410733,Sedan,24,TRUE,TRUE,Gasoline,TRUE,,TRUE,Hyundai,,60733,Sonata,11495,A,,2016
5J6RE48369L065844,SUV / Crossover,279,FALSE,FALSE,Gasoline,TRUE,166,FALSE,Honda,5 seats,155421,CR-V,6995,A,AWD,2009
KM8J3CAL1LU239989,SUV / Crossover,103,,,Gasoline,,181,,Hyundai,5 seats,8,Tucson,32315,A,AWD,2020
JN1CV7AR6HM682393,Sedan,32,FALSE,FALSE,Gasoline,TRUE,,FALSE,INFINITI,5 seats,9570,Q50,22950,A,AWD,2017
NM0LS7E24L1445685,Van,385,,,Gasoline,,169,,Ford,2 seats,0,Transit Connect,27218,A,FWD,2020
1C4RDJDG5HC884231,SUV / Crossover,41,FALSE,FALSE,Gasoline,FALSE,295,FALSE,Dodge,7 seats,32740,Durango,30199,A,AWD,2017
5NMS3CAD9LH232541,SUV / Crossover,140,,,Gasoline,,185,,Hyundai,5 seats,38,Santa Fe,34809,A,AWD,2020
1HGCM56634A115980,Sedan,70,FALSE,FALSE,Gasoline,FALSE,160,FALSE,Honda,5 seats,228237,Accord,2495,A,FWD,2004
3FA6P0HD9LR225170,Sedan,39,FALSE,FALSE,Gasoline,FALSE,175,FALSE,Ford,5 seats,0,Fusion,23748,A,FWD,2020
1C4PJMBB9HW632182,SUV / Crossover,26,FALSE,FALSE,Gasoline,FALSE,180,FALSE,Jeep,5 seats,31824,Cherokee,22995,A,4WD,2017
3C4NJDCB8HT624392,SUV / Crossover,74,FALSE,FALSE,Gasoline,TRUE,180,FALSE,Jeep,5 seats,17877,Compass,18450,A,4WD,2017
JN1FV7AR2HM870132,Sedan,22,FALSE,FALSE,Gasoline,TRUE,400,FALSE,INFINITI,5 seats,29670,Q50,28650,A,AWD,2017
JN1BY1AR9DM600733,Sedan,8,FALSE,FALSE,Gasoline,FALSE,330,FALSE,INFINITI,5 seats,162115,M37,10146,A,AWD,2013
1C6SRFRT0LN401058,Pickup Truck,20,,,Gasoline,,395,,RAM,6 seats,15,1500,52024,A,4WD,2020
2T1BURHE1KC139340,Sedan,13,FALSE,FALSE,Gasoline,FALSE,132,FALSE,Toyota,5 seats,26808,Corolla,16494,CVT,FWD,2019
MAJ3S2KE3LC355779,SUV / Crossover,207,,,Gasoline,,123,,Ford,5 seats,0,EcoSport,27220,A,FWD,2020
KM8J3CAL3LU224264,SUV / Crossover,105,,,Gasoline,,181,,Hyundai,5 seats,0,Tucson,34845,A,AWD,2020
1LNLM82W2PY612046,Sedan,49,FALSE,FALSE,Gasoline,FALSE,190,FALSE,Lincoln,6 seats,137305,Town Car,2500,A,RWD,1993
KM8K5CA51LU448066,SUV / Crossover,336,,,Gasoline,,175,,Hyundai,5 seats,50,Kona,30605,A,AWD,2020
